,Anti-Mage,Axe,Bane,Bloodseeker,Crystal Maiden,Drow Ranger,Earthshaker,Juggernaut,Mirana,Morphling,Shadow Fiend,Phantom Lancer,Puck,Pudge,Razor,Sand King,Storm Spirit,Sven,Tiny,Vengeful Spirit,Windranger,Zeus,Kunkka,Lina,Lion,Shadow Shaman,Slardar,Tidehunter,Witch Doctor,Lich,Riki,Enigma,Tinker,Sniper,Necrophos,Warlock,Beastmaster,Queen of Pain,Venomancer,Faceless Void,Wraith King,Death Prophet,Phantom Assassin,Pugna,Templar Assassin,Viper,Luna,Dragon Knight,Dazzle,Clockwerk,Leshrac,Nature's Prophet,Lifestealer,Dark Seer,Clinkz,Omniknight,Enchantress,Huskar,Night Stalker,Broodmother,Bounty Hunter,Weaver,Jakiro,Batrider,Chen,Spectre,Ancient Apparition,Doom,Ursa,Spirit Breaker,Gyrocopter,Alchemist,Invoker,Silencer,Outworld Destroyer,Lycan,Brewmaster,Shadow Demon,Lone Druid,Chaos Knight,Meepo,Treant Protector,Ogre Magi,Undying,Rubick,Disruptor,Nyx Assassin,Naga Siren,Keeper of the Light,Io,Visage,Slark,Medusa,Troll Warlord,Centaur Warrunner,Magnus,Timbersaw,Bristleback,Tusk,Skywrath Mage,Abaddon,Elder Titan,Legion Commander,Techies,Ember Spirit,Earth Spirit,Underlord,Terrorblade,Phoenix,Oracle,Winter Wyvern,Arc Warden,Monkey King,Dark Willow,Pangolier,Grimstroke,Hoodwink,Void Spirit,Snapfire,Mars,Dawnbreaker,Marci,Primal Beast
Ursa,0.16,0.08,-0.03,0.14,0.0,0.08,0.16,0.04,-0.0,0.06,0.01,0.01,0.02,0.08,-0.07,0.01,-0.05,-0.02,-0.02,-0.04,-0.09,0.03,0.03,0.03,0.12,-0.02,0.03,-0.03,0.14,0.03,-0.05,-0.03,0.08,0.04,0.0,-0.0,-0.0,-0.02,0.02,-0.0,0.01,-0.07,0.05,-0.03,-0.06,0.01,-0.07,-0.08,-0.04,-0.05,0.02,0.02,0.04,0.21,-0.11,0.04,-0.04,0.11,0.05,-0.06,-0.17,0.0,0.06,0.01,-0.02,-0.02,-0.13,-0.03,0.0,0.01,-0.05,0.02,-0.01,0.05,-0.03,0.04,0.02,0.1,-0.03,0.03,0.46,-0.01,0.03,-0.03,0.02,-0.0,-0.08,-0.05,-0.02,0.09,-0.0,-0.0,-0.09,-0.05,0.05,0.0,0.0,0.03,0.04,-0.02,-0.06,0.21,-0.02,0.14,0.01,0.02,0.02,0.01,0.02,-0.05,-0.06,-0.11,-0.01,0.01,0.01,0.03,-0.03,-0.06,0.06,0.03,0.01,0.03,-0.01
Spirit Breaker,0.08,-0.03,0.03,-0.08,0.02,-0.05,-0.05,-0.02,0.05,0.05,0.09,0.09,0.02,0.03,-0.04,-0.04,-0.04,0.12,0.01,0.03,-0.01,0.0,0.04,-0.05,-0.04,-0.02,0.18,-0.02,-0.08,0.05,-0.04,-0.05,0.07,0.02,-0.25,-0.06,-0.01,0.07,0.11,0.01,-0.12,-0.02,0.01,0.02,0.07,-0.0,0.01,0.04,-0.04,-0.02,0.06,0.05,0.05,-0.06,0.02,-0.21,0.0,-0.02,0.02,0.02,-0.05,0.03,0.09,-0.05,-0.1,0.12,0.04,0.02,-0.01,0.0,-0.02,-0.28,-0.01,0.03,-0.08,0.03,-0.04,-0.02,-0.05,0.0,0.21,0.04,0.01,0.01,0.05,0.01,-0.05,0.03,-0.04,-0.01,-0.09,0.04,0.01,0.01,-0.04,0.12,0.02,-0.31,-0.02,-0.03,-0.06,0.18,-0.01,-0.12,0.0,-0.01,-0.04,0.03,-0.01,0.01,0.08,0.37,0.1,-0.01,0.09,-0.04,-0.01,-0.1,-0.09,0.0,-0.05,-0.02,0.06
Gyrocopter,-0.09,-0.06,-0.01,0.04,-0.06,0.06,-0.03,-0.02,-0.02,-0.0,0.04,0.01,-0.01,-0.04,-0.06,0.03,-0.03,-0.03,-0.02,0.05,0.03,-0.06,0.05,0.01,0.01,-0.06,0.0,-0.1,-0.06,-0.02,-0.04,0.07,0.16,-0.11,0.11,-0.17,0.03,-0.02,-0.06,-0.0,-0.09,-0.02,0.1,0.05,-0.02,-0.08,0.01,0.06,0.06,0.01,0.06,-0.03,-0.04,0.01,0.09,0.18,-0.01,0.0,-0.07,0.02,-0.04,0.05,0.01,0.04,-0.02,0.08,0.03,-0.11,0.05,0.02,0.0,-0.05,-0.07,-0.03,-0.01,0.11,-0.14,-0.05,0.15,-0.03,0.45,-0.03,-0.01,0.05,0.0,-0.01,0.03,0.09,-0.03,-0.02,0.14,-0.02,0.08,0.11,-0.04,-0.07,-0.01,0.08,0.02,-0.02,-0.05,0.29,-0.09,-0.22,-0.01,0.01,0.13,-0.11,-0.1,-0.07,0.09,-0.29,-0.05,0.15,-0.0,-0.06,-0.02,-0.04,-0.05,-0.04,0.09,0.01,0.02
Alchemist,-0.11,0.11,-0.01,-0.1,0.06,0.18,-0.06,-0.05,-0.03,0.08,0.0,-0.15,0.01,0.07,-0.02,0.04,-0.04,0.13,-0.02,-0.03,0.08,0.04,-0.15,-0.03,0.05,0.07,-0.08,0.13,0.22,0.01,0.17,0.1,0.09,0.11,-0.08,0.11,0.0,-0.09,-0.14,0.1,0.06,-0.09,-0.06,0.09,0.05,0.03,0.03,-0.06,-0.05,-0.01,-0.07,-0.1,0.13,0.24,0.15,-0.01,0.0,-0.02,0.09,0.0,0.04,-0.14,0.02,0.06,-0.03,0.12,0.14,-0.09,-0.02,0.28,0.05,0.0,0.01,-0.14,0.08,-0.05,0.2,0.1,-0.08,0.06,0.1,-0.09,-0.01,-0.05,0.06,0.04,-0.05,-0.1,-0.03,0.03,0.07,-0.12,0.02,-0.1,-0.02,0.02,0.08,-0.02,0.02,0.0,-0.09,0.31,-0.13,0.0,-0.06,-0.12,0.08,0.1,-0.1,0.18,0.01,-0.31,-0.02,-0.02,0.07,-0.07,-0.04,0.06,-0.01,0.01,-0.05,0.05,0.07
Invoker,0.09,0.06,-0.03,0.01,0.01,-0.03,0.03,-0.01,-0.05,-0.04,-0.01,-0.1,-0.05,-0.04,0.01,0.01,0.02,-0.05,-0.01,0.03,0.02,0.01,0.09,0.05,0.03,0.1,0.1,0.04,-0.03,-0.04,-0.02,-0.04,0.02,0.07,-0.0,0.07,0.01,0.02,-0.01,-0.04,0.08,0.02,-0.05,0.08,-0.01,0.02,0.03,-0.01,-0.05,-0.01,-0.02,0.02,-0.02,-0.13,-0.0,-0.05,0.01,-0.15,0.06,-0.1,0.02,0.03,0.08,-0.04,-0.03,0.11,-0.07,0.0,0.01,0.01,0.07,-0.01,0.0,0.03,0.01,0.04,-0.05,-0.04,0.06,0.07,0.25,-0.04,0.01,0.01,0.04,-0.02,0.02,0.01,-0.0,-0.01,-0.11,0.05,0.08,0.12,-0.12,-0.04,0.01,0.06,0.0,0.05,0.02,-0.03,0.05,-0.08,-0.03,-0.1,0.02,-0.12,-0.06,-0.12,0.03,-0.04,-0.06,0.1,-0.06,-0.06,0.03,-0.1,-0.03,-0.02,-0.08,-0.0,-0.06
Silencer,-0.18,-0.09,-0.01,0.03,0.03,0.07,0.03,0.02,-0.0,-0.07,-0.0,-0.16,-0.0,0.0,-0.06,-0.01,-0.03,-0.02,0.01,0.11,0.0,-0.04,-0.07,-0.07,0.14,0.04,-0.03,-0.01,0.07,-0.02,0.07,-0.01,-0.3,-0.03,-0.08,-0.05,0.06,-0.03,0.07,0.05,0.02,-0.01,0.12,0.06,-0.01,0.03,-0.02,0.02,-0.06,-0.02,-0.0,0.02,0.01,0.13,-0.14,-0.04,0.07,-0.03,-0.04,-0.03,0.11,-0.03,-0.04,0.0,0.02,0.09,-0.05,0.03,-0.05,-0.03,0.03,0.14,-0.03,0.0,-0.02,-0.01,-0.04,0.06,0.09,-0.06,-0.21,-0.01,-0.08,-0.0,-0.02,0.02,-0.04,-0.0,0.06,-0.0,-0.04,0.06,0.06,0.0,0.01,0.05,-0.01,0.16,0.01,-0.04,-0.06,-0.22,-0.02,0.03,0.05,0.06,-0.03,0.0,0.03,-0.05,-0.04,-0.14,-0.03,0.09,-0.02,0.01,-0.08,-0.01,0.05,0.03,0.05,-0.06,0.02
Outworld Destroyer,-0.09,-0.12,-0.03,0.09,0.05,-0.07,-0.08,-0.06,-0.0,-0.04,-0.03,-0.03,-0.02,-0.01,0.0,0.11,0.01,0.07,0.04,0.02,-0.07,-0.09,-0.05,-0.05,0.09,-0.12,0.0,0.03,0.07,-0.04,0.03,-0.01,-0.03,-0.02,0.03,0.02,-0.02,0.01,0.08,0.06,-0.02,-0.06,0.03,0.01,0.07,0.13,-0.04,0.09,-0.09,0.01,-0.06,-0.01,-0.08,0.03,-0.1,-0.04,0.09,0.19,-0.0,-0.07,-0.04,-0.02,-0.05,0.03,-0.12,-0.09,0.02,0.0,0.03,0.08,0.01,-0.08,-0.01,0.02,0.0,-0.06,0.15,-0.02,-0.01,0.03,-0.55,0.03,-0.02,0.01,-0.03,0.05,-0.05,-0.0,-0.05,-0.02,-0.06,-0.02,0.08,0.04,-0.07,0.05,-0.02,0.11,-0.04,-0.03,0.03,-0.07,0.01,-0.08,0.06,-0.0,-0.13,0.03,-0.17,-0.12,0.16,0.06,0.04,0.09,0.03,-0.01,0.0,-0.08,-0.03,-0.04,0.18,-0.01,-0.09
Lycan,0.08,0.06,0.03,0.01,-0.03,0.04,-0.03,0.13,0.02,0.01,0.12,0.12,0.07,0.06,0.05,-0.05,-0.12,0.01,0.04,0.03,0.07,0.03,-0.07,-0.08,-0.02,-0.0,0.17,0.13,-0.01,0.08,0.04,0.01,-0.2,0.1,-0.04,-0.05,-0.04,-0.08,-0.16,0.03,0.07,-0.0,-0.01,-0.09,-0.02,0.05,0.01,0.0,-0.06,0.04,-0.08,0.03,0.02,0.03,0.08,0.05,-0.13,0.1,-0.1,-0.02,-0.26,0.0,0.07,0.02,-0.03,-0.08,0.02,0.08,-0.04,-0.03,-0.11,0.05,-0.04,0.01,0.06,0.0,0.01,0.1,0.02,0.11,0.38,0.01,0.06,0.02,-0.03,-0.06,0.05,-0.01,-0.09,0.05,0.01,-0.11,-0.12,-0.04,-0.02,-0.04,-0.09,0.0,-0.01,0.07,0.0,0.1,0.01,0.02,-0.04,-0.04,0.02,-0.11,-0.03,-0.18,-0.08,0.19,-0.07,-0.04,-0.01,-0.02,0.04,0.08,-0.07,0.02,-0.03,0.02,-0.13
Brewmaster,-0.17,-0.05,0.11,0.09,0.08,0.16,-0.15,-0.0,-0.13,0.09,-0.02,-0.1,-0.02,0.08,0.1,0.1,0.02,-0.15,-0.04,-0.11,0.01,0.02,-0.05,-0.0,0.06,-0.01,0.17,-0.05,-0.51,-0.03,0.02,-0.02,0.24,0.02,0.12,-0.04,0.03,0.05,0.12,-0.05,-0.11,-0.01,-0.12,0.03,0.02,0.06,0.21,0.07,-0.11,-0.09,-0.04,0.03,-0.07,-0.18,-0.34,0.01,0.11,0.08,-0.1,0.02,0.07,-0.18,-0.11,0.13,0.09,0.15,0.14,0.06,-0.02,0.04,0.14,-0.2,0.05,0.04,-0.15,-0.01,0.0,0.05,0.15,-0.01,0.45,-0.01,-0.13,0.04,0.07,0.04,0.04,-0.03,0.05,0.08,-0.02,0.09,0.02,0.06,-0.03,0.17,-0.01,-0.06,0.1,-0.03,0.04,-0.17,0.01,-0.09,-0.03,0.05,-0.01,0.05,0.07,-0.14,-0.2,-0.04,0.07,-0.1,-0.0,0.06,0.08,-0.03,-0.08,0.02,-0.08,0.03,0.0
Shadow Demon,0.12,0.07,-0.05,-0.12,-0.05,0.11,0.01,-0.09,-0.06,0.01,0.01,-0.01,-0.01,0.02,-0.04,-0.01,-0.04,0.05,0.02,0.0,-0.04,-0.02,0.04,0.03,-0.1,0.03,-0.14,0.05,0.22,-0.09,-0.04,-0.13,-0.03,0.05,0.05,0.0,-0.08,0.04,0.17,-0.03,-0.01,-0.01,-0.01,0.07,0.01,0.12,-0.08,0.0,-0.07,-0.02,-0.06,-0.02,-0.13,-0.13,0.08,0.03,0.0,-0.02,-0.07,-0.04,-0.12,-0.05,-0.02,-0.01,0.1,-0.08,0.0,0.02,-0.1,0.02,0.05,-0.1,0.04,-0.06,0.02,-0.1,-0.05,0.0,0.04,-0.01,-0.4,-0.02,-0.04,-0.03,0.03,0.04,0.12,0.02,-0.02,0.03,-0.01,-0.04,0.02,0.2,0.17,-0.11,-0.03,-0.04,0.02,0.01,0.11,0.15,0.0,-0.02,-0.02,-0.03,0.09,0.01,0.02,-0.01,-0.14,-0.11,-0.05,-0.03,0.02,0.01,0.04,-0.03,-0.1,0.0,0.05,-0.02,0.01
Lone Druid,-0.06,0.1,-0.03,0.0,0.01,-0.09,-0.06,0.15,0.02,-0.04,-0.08,0.19,-0.03,-0.02,0.02,0.03,0.15,-0.17,-0.04,0.06,-0.03,-0.06,-0.08,0.08,-0.08,0.05,-0.13,-0.07,-0.22,-0.15,0.14,-0.15,-0.15,-0.09,0.07,-0.19,-0.1,0.12,-0.04,-0.04,0.01,0.04,-0.09,-0.06,-0.06,0.02,0.13,-0.05,0.14,-0.07,-0.01,-0.11,0.09,-0.13,-0.03,-0.03,0.1,-0.23,0.13,0.04,-0.29,0.11,0.04,-0.02,0.24,0.13,0.03,0.01,0.03,0.05,-0.15,0.08,-0.06,-0.09,0.01,-0.02,-0.15,-0.04,0.0,0.11,-0.11,0.01,0.04,0.01,0.04,-0.02,0.06,0.05,-0.11,0.03,0.0,-0.14,0.12,0.11,0.2,0.01,0.06,-0.07,0.0,-0.04,-0.01,-0.23,0.01,-0.12,0.07,0.15,-0.19,-0.1,0.07,0.14,-0.01,0.2,0.12,0.01,-0.07,0.08,0.02,0.02,-0.03,-0.01,-0.01,0.09,-0.18
Chaos Knight,-0.08,0.06,0.06,-0.06,-0.08,0.05,0.01,-0.01,0.01,0.02,-0.07,-0.06,-0.0,0.08,-0.02,-0.02,0.04,0.07,-0.01,0.01,-0.04,-0.07,0.04,0.04,0.07,-0.02,-0.07,-0.01,-0.07,-0.01,-0.15,-0.04,0.09,-0.05,-0.11,-0.11,-0.03,0.03,0.18,0.06,0.1,0.01,0.04,0.02,-0.01,0.01,-0.05,-0.03,0.02,0.05,0.01,0.07,0.05,-0.09,-0.09,0.34,-0.01,0.14,0.05,0.05,-0.07,0.03,-0.01,0.12,0.11,0.05,0.09,0.03,-0.03,-0.0,0.03,-0.06,-0.07,0.06,-0.03,-0.11,0.01,0.01,-0.11,0.0,0.05,0.02,-0.02,-0.06,-0.02,0.05,0.03,-0.04,0.04,0.01,0.02,0.22,-0.04,-0.04,0.05,-0.07,-0.02,0.02,0.04,-0.01,-0.06,-0.07,0.01,0.03,0.0,-0.07,-0.04,0.06,-0.03,-0.03,-0.04,-0.23,0.0,0.02,0.01,0.01,0.01,-0.0,0.01,0.03,-0.04,-0.01,0.06
Meepo,0.37,0.21,-0.0,0.05,-0.45,0.04,-0.45,0.21,-0.07,0.04,-0.18,0.53,0.19,-0.06,0.18,0.16,-0.17,0.08,0.01,0.07,-0.11,0.21,0.3,0.57,0.03,0.19,-0.45,-0.47,-0.13,0.27,0.1,-0.07,-0.46,-0.46,-0.46,0.07,-0.18,0.3,-0.4,-0.43,0.22,-0.05,0.0,-0.06,0.14,0.07,0.57,0.18,0.09,-0.29,0.16,-0.02,0.3,0.58,-0.49,-0.02,-0.11,0.55,0.03,-0.21,-0.03,-0.13,-0.22,-0.44,-0.36,-0.49,0.02,-0.07,-0.46,-0.21,-0.45,-0.1,-0.25,0.21,0.55,-0.38,-0.45,0.4,0.11,-0.05,0.0,-0.39,0.27,-0.0,-0.14,-0.07,-0.09,-0.41,-0.02,-0.1,-0.39,-0.43,0.2,-0.45,0.22,0.54,-0.2,0.06,-0.07,0.3,0.22,-0.45,0.21,-0.46,0.09,0.11,0.04,-0.45,-0.11,-0.42,-0.12,-0.49,-0.19,0.05,0.14,0.18,0.17,-0.13,-0.22,0.12,-0.01,-0.17,-0.05
Treant Protector,0.11,0.1,0.04,0.07,0.03,-0.05,0.03,0.0,-0.0,-0.04,-0.07,0.02,0.01,0.03,0.04,0.1,0.04,0.05,0.0,-0.1,0.04,-0.01,-0.03,-0.04,0.02,-0.04,0.13,-0.03,0.05,-0.09,0.01,-0.07,-0.04,0.0,0.06,-0.02,0.03,-0.06,-0.01,-0.01,-0.04,0.02,-0.12,-0.06,0.05,0.08,-0.01,-0.01,-0.0,-0.01,-0.04,0.03,0.05,-0.01,0.12,0.07,-0.05,0.0,-0.01,-0.03,0.11,0.07,-0.04,-0.03,0.1,-0.07,0.03,-0.03,0.01,-0.04,0.03,0.09,0.04,0.01,-0.03,-0.01,0.01,0.02,-0.01,-0.02,0.39,0.0,-0.07,-0.04,-0.01,-0.06,0.06,-0.02,-0.04,-0.03,0.1,0.02,-0.08,0.01,0.01,-0.02,0.03,0.16,0.03,0.01,0.08,-0.06,0.03,0.07,0.0,-0.03,-0.17,0.04,0.04,-0.28,-0.11,-0.1,0.04,0.03,-0.01,-0.06,0.0,-0.08,0.03,-0.01,-0.03,0.03,0.0
Ogre Magi,-0.01,0.03,0.0,-0.09,-0.03,0.08,-0.06,0.0,0.0,0.02,0.05,0.0,0.01,-0.04,-0.01,0.02,0.02,-0.08,0.0,0.06,-0.06,0.0,0.0,0.0,-0.05,-0.04,0.0,0.0,0.0,-0.11,-0.04,0.01,0.0,-0.07,0.01,0.04,-0.07,0.07,-0.05,0.02,0.01,-0.05,0.03,-0.04,-0.04,-0.1,-0.05,0.01,0.04,-0.03,-0.03,-0.08,0.08,-0.01,-0.0,0.05,0.0,0.0,0.04,0.03,-0.08,0.1,0.02,-0.03,-0.25,0.28,0.07,0.04,-0.03,-0.01,0.01,0.01,-0.01,0.08,0.02,-0.06,0.13,0.04,-0.04,0.02,-0.27,0.07,0.0,-0.01,0.01,0.03,0.04,0.02,-0.09,-0.03,0.04,0.02,0.09,0.07,-0.02,-0.02,0.02,0.04,-0.04,0.01,0.04,-0.12,-0.04,-0.05,-0.02,0.07,0.09,-0.02,-0.02,0.09,-0.04,0.01,-0.04,0.05,-0.02,-0.0,0.0,-0.05,0.0,0.0,-0.04,-0.04,-0.01
Undying,0.05,-0.04,0.02,0.05,-0.02,-0.02,-0.02,0.04,0.02,-0.03,-0.01,0.03,0.03,0.06,0.01,-0.03,-0.01,0.04,0.02,0.06,0.06,0.04,-0.05,0.05,-0.1,0.01,-0.05,0.08,0.04,0.05,0.05,0.04,0.04,0.01,0.03,-0.12,0.0,-0.02,0.04,-0.01,0.09,0.03,0.02,0.0,0.03,0.02,-0.05,-0.05,0.01,0.01,0.02,0.03,-0.01,-0.09,0.0,-0.03,-0.02,-0.05,0.0,-0.02,-0.02,-0.02,0.01,-0.06,0.03,0.05,0.01,0.02,0.03,-0.01,-0.05,0.05,-0.01,0.0,-0.01,-0.02,-0.04,0.03,-0.01,0.06,0.0,0.04,0.01,0.0,-0.02,-0.03,-0.02,-0.01,-0.03,-0.01,0.03,-0.06,-0.08,-0.03,-0.09,-0.02,0.02,0.07,0.05,0.0,-0.02,0.1,-0.01,0.03,-0.02,0.01,-0.1,0.04,0.01,0.0,-0.03,0.04,-0.01,0.06,0.03,-0.03,-0.02,0.03,-0.02,0.0,0.03,0.01,0.04
Rubick,0.02,-0.06,0.0,0.02,0.0,-0.02,0.01,0.04,0.01,0.06,-0.01,-0.01,0.01,0.0,0.02,0.0,0.02,0.01,0.0,0.02,0.02,-0.02,0.0,0.02,0.09,-0.01,0.05,-0.06,-0.04,-0.03,0.01,-0.01,0.04,0.01,0.0,-0.1,-0.02,-0.03,-0.01,0.0,0.0,0.0,-0.02,-0.04,0.0,-0.08,0.04,-0.01,-0.06,-0.02,-0.01,-0.03,0.0,0.01,-0.01,-0.06,-0.02,-0.01,0.01,0.03,-0.05,0.03,0.02,0.0,-0.02,0.02,0.06,0.05,-0.02,-0.05,0.0,-0.06,-0.04,0.02,0.03,0.03,-0.07,-0.03,-0.04,0.02,0.14,0.01,-0.01,0.02,0.0,-0.02,-0.02,-0.01,-0.03,-0.02,0.03,-0.04,0.02,0.03,0.02,-0.01,0.03,0.02,0.02,-0.02,-0.01,0.04,-0.01,0.05,-0.06,0.0,0.12,0.0,-0.08,0.05,0.02,-0.06,-0.02,0.01,0.03,-0.04,0.0,0.02,-0.01,0.0,0.01,0.0,-0.01
Disruptor,-0.09,-0.02,-0.02,0.11,0.01,0.01,0.03,-0.1,0.04,0.01,-0.02,-0.06,0.05,0.0,-0.03,-0.05,0.04,-0.04,0.05,-0.07,0.01,0.02,-0.03,-0.06,-0.07,0.05,0.02,-0.03,0.03,0.01,-0.06,0.12,-0.01,0.01,-0.03,0.25,0.06,-0.02,-0.02,0.03,-0.07,0.01,-0.04,0.01,0.01,-0.03,-0.06,0.03,0.01,-0.02,0.02,-0.01,0.01,-0.09,0.01,-0.09,-0.03,0.03,0.01,0.07,-0.04,0.0,-0.08,-0.01,0.02,0.01,-0.13,0.0,0.0,-0.01,0.01,-0.04,0.02,-0.02,-0.05,0.06,-0.04,-0.04,0.02,-0.05,0.07,0.06,-0.03,0.03,0.02,0.0,-0.06,0.11,-0.06,-0.0,-0.01,0.08,-0.02,-0.01,-0.03,0.03,0.02,0.03,-0.02,0.0,0.03,0.14,-0.06,-0.01,-0.01,-0.07,0.0,0.0,-0.04,0.03,0.0,-0.05,-0.02,0.0,-0.04,-0.06,0.02,-0.05,0.02,0.02,-0.03,0.02,0.03
Nyx Assassin,0.01,0.02,0.03,0.03,-0.06,-0.1,-0.06,0.05,-0.05,0.0,-0.03,-0.09,0.05,0.01,0.06,0.0,0.02,0.07,0.0,-0.11,0.0,0.03,-0.09,0.02,-0.07,-0.03,-0.1,0.0,-0.05,0.03,-0.09,0.05,-0.07,-0.09,-0.11,0.17,-0.03,-0.01,0.02,-0.01,-0.01,0.04,0.01,0.15,-0.06,-0.03,0.01,0.03,-0.02,-0.0,-0.03,-0.07,-0.05,0.08,-0.07,0.22,-0.01,0.0,0.0,0.0,0.04,0.03,-0.04,-0.02,-0.02,0.05,-0.05,0.0,0.08,0.05,-0.03,0.05,-0.02,0.04,0.05,-0.05,-0.04,-0.12,-0.06,-0.03,0.09,-0.06,-0.04,0.02,0.02,0.06,0.0,-0.03,0.02,0.0,0.0,0.08,-0.02,0.06,0.07,0.04,0.04,0.04,-0.01,-0.01,-0.04,-0.08,-0.01,-0.11,-0.02,0.08,0.01,-0.02,-0.01,0.1,-0.03,0.07,0.03,0.0,-0.02,-0.02,0.02,-0.05,-0.01,-0.04,0.02,-0.02,0.04
Naga Siren,0.11,-0.24,-0.01,-0.07,0.0,0.09,0.02,0.01,0.07,0.02,-0.0,0.0,-0.01,-0.06,0.03,0.1,-0.05,0.03,0.01,-0.0,-0.03,-0.04,0.07,-0.02,-0.12,-0.04,0.0,0.0,-0.05,0.06,-0.03,0.03,0.04,-0.03,-0.11,-0.41,0.0,-0.05,-0.02,0.15,-0.04,0.04,-0.01,0.02,0.12,-0.03,-0.05,0.0,0.01,-0.04,-0.02,0.03,-0.09,-0.17,-0.25,-0.15,-0.05,-0.33,-0.01,0.06,0.07,0.02,-0.05,-0.08,0.08,0.15,-0.04,0.03,0.05,-0.03,-0.09,0.1,-0.01,0.0,0.0,0.01,0.03,-0.02,-0.05,0.04,-0.59,0.02,-0.02,0.01,0.01,-0.11,0.03,0.0,-0.13,-0.03,0.14,-0.0,-0.09,0.0,-0.07,-0.06,0.02,-0.03,-0.01,-0.09,0.06,-0.04,-0.04,-0.12,0.02,0.04,0.05,0.02,0.05,-0.01,0.17,0.12,-0.01,0.02,0.07,-0.12,0.01,-0.01,0.04,-0.01,0.1,0.03,-0.08
Keeper of the Light,0.04,0.04,0.07,-0.02,0.1,-0.01,0.14,-0.07,0.02,-0.06,-0.04,0.25,0.06,0.1,0.04,0.03,-0.01,-0.08,-0.02,-0.15,0.09,0.02,0.0,-0.04,0.03,-0.04,-0.04,-0.03,-0.01,0.06,-0.08,-0.07,-0.04,0.04,-0.07,-0.02,0.0,0.02,-0.05,-0.04,0.0,-0.02,-0.02,-0.05,-0.07,-0.0,0.04,0.02,0.02,-0.0,0.03,-0.06,-0.01,-0.1,0.05,-0.03,0.05,-0.04,-0.04,-0.06,0.14,0.02,0.01,0.0,-0.01,-0.02,0.09,0.01,0.02,0.04,0.03,0.03,0.0,-0.06,0.05,0.09,-0.05,0.02,0.11,-0.04,0.02,0.04,0.09,0.03,0.03,0.06,-0.02,0.13,0.0,-0.01,0.04,0.08,-0.03,-0.07,-0.01,-0.02,0.0,-0.01,-0.05,-0.03,-0.06,-0.03,-0.05,0.09,0.0,-0.04,0.07,0.04,0.06,-0.1,-0.06,0.05,-0.01,-0.12,-0.02,0.0,-0.02,0.14,0.0,-0.02,0.11,0.01,-0.01
Io,-0.02,-0.04,-0.03,0.05,0.1,-0.04,0.01,-0.03,-0.04,-0.04,-0.04,0.02,-0.03,-0.01,-0.05,-0.04,-0.05,0.01,0.01,0.07,-0.06,0.1,-0.06,-0.02,-0.05,0.04,0.0,0.03,0.01,0.06,0.05,0.05,0.11,-0.02,0.02,-0.04,-0.01,-0.03,0.13,0.02,0.05,-0.0,0.04,0.1,-0.03,-0.02,0.18,-0.04,0.06,0.09,0.04,0.07,0.02,-0.08,0.1,0.13,-0.07,0.14,0.02,0.03,0.11,-0.04,-0.05,0.14,-0.04,-0.14,0.04,0.05,-0.09,0.01,0.02,-0.03,0.01,0.0,0.02,-0.05,-0.08,-0.03,-0.03,-0.01,0.1,0.03,0.03,0.01,0.02,0.0,-0.0,0.03,0.01,0.0,0.06,0.07,-0.06,0.08,-0.02,0.04,-0.04,-0.04,0.03,-0.02,0.05,0.0,0.05,0.11,0.05,0.04,0.02,-0.06,-0.03,0.06,0.02,0.26,0.01,-0.03,0.04,-0.04,0.03,0.04,0.0,-0.04,0.0,-0.05,0.02
Visage,0.01,-0.14,0.01,0.0,-0.02,-0.05,-0.01,0.05,-0.01,-0.05,-0.08,-0.05,-0.01,-0.02,-0.01,0.05,0.07,-0.03,0.0,0.06,0.08,0.0,-0.01,0.04,0.04,-0.0,0.04,-0.07,0.02,0.13,0.01,-0.0,0.14,0.07,0.1,-0.03,0.0,0.04,-0.06,-0.03,0.0,0.05,-0.02,0.18,0.01,0.05,0.02,0.07,-0.02,0.11,0.02,0.08,0.03,-0.25,-0.08,-0.05,-0.03,-0.06,-0.01,-0.08,0.08,-0.01,-0.01,0.01,-0.12,0.19,0.06,0.03,0.0,0.09,-0.14,-0.07,0.11,0.04,0.06,-0.01,0.02,0.01,0.0,-0.02,0.39,-0.1,-0.04,-0.03,-0.03,0.01,-0.0,-0.14,-0.04,-0.06,0.0,-0.07,-0.0,0.09,0.06,-0.05,0.07,0.09,-0.06,-0.02,0.09,-0.03,-0.11,0.0,-0.03,0.03,0.04,0.05,0.09,0.14,-0.01,-0.03,-0.01,-0.03,-0.05,0.03,-0.01,0.13,0.0,0.04,-0.02,-0.0,0.0
